MP5	MP4	MP2	MP1	MP3	MP6	cancer	pop	depmapID
-3.59687266546619	-3.63608766904727	-2.31176175667417	-0.919582195946846	-1.18433832453277	-2.3605267133374	OV	EA	ACH-000001
NA	NA	-0.709241166271247	-0.962893707819528	-4.59055817517139	-2.44980144589461	COAD	NA	ACH-000003
-2.44991163320241	-2.24743270089054	-2.54668098512056	-0.830667175197566	-2.70708954245567	-2.7435828324829	COAD	EA	ACH-000007
NA	-2.58021196586545	-0.864409845917654	-0.947245963877902	-2.63001269752216	-2.54450793850007	COAD	EA	ACH-000009
NA	-1.68595342690485	-1.27065987432434	-1.57444034307177	-1.31793496064046	-1.65818706284924	LUAD	EA	ACH-000012
NA	-2.13955202682324	-2.04940531108251	-0.841413717420307	-0.982273274501375	-2.58571053524377	OV	EA	ACH-000013
NA	NA	-3.16119349040052	-1.69431744819774	-3.6865488428409	NA	KIRC	NA	ACH-000016
NA	-3.37145581032918	0.129531755650141	-1.27821254029947	-3.08288000997017	-2.08390248035057	BRCA	EA	ACH-000017
NA	-1.29890215896627	-1.67584861717346	-1.70073177891071	-1.49596134881051	-2.8950472075525	BRCA	EA	ACH-000019
NA	-1.15309762943983	-1.98993556048134	-1.66600372728569	-1.60895215099122	NA	LUAD	EA	ACH-000021
NA	-1.41275935719748	-1.28034920240316	-1.38147866529795	-0.683818772143948	-2.80263855215411	BRCA	EA	ACH-000028
NA	-2.14034800454955	-2.06779010034967	-0.767587001664443	-1.48577831425216	-2.94666249031444	LUAD	EAA	ACH-000030
NA	-2.07223054168352	-0.298334662470952	-0.649482109579291	-1.11256861832458	-2.37691090453299	LUAD	EA	ACH-000035
-4.24988844177194	-2.28281964748263	-2.98828714589603	-1.66008230977363	-2.58602170394746	-2.90467328537229	GBM	EA	ACH-000040
NA	NA	-0.709169803506228	-1.09451300140386	-1.80863070009983	-2.09141061440848	BRCA	EA	ACH-000044
NA	NA	-2.90505207302959	-0.970014923241424	-2.73006092643306	NA	KIRC	EA	ACH-000046
NA	NA	-2.80510159240269	-0.63858378054069	-1.49720902603293	-3.05445244329948	STAD	EAA	ACH-000047
NA	NA	-2.32839251247172	-0.825856834120149	-1.39542705598426	-3.43822833562578	OV	EA	ACH-000048
NA	-2.57480641669717	-3.17636795380639	-0.690768384643803	-0.707563232058503	-1.55921086580956	KIRC	EA	ACH-000049
-3.35401657670859	NA	-1.68439329084244	-1.27247195281626	-1.63927669458714	NA	THCA	EA	ACH-000058
NA	-1.71876701169379	-2.86881006058326	-1.21091896082205	-1.16642281433031	-2.25240368500203	LUAD	EAA	ACH-000062
NA	NA	-2.87088015712723	-1.32784292470949	-1.68992637856862	-2.88542131985024	LUAD	EA	ACH-000066
-4.0255564232201	-2.71805491481048	-2.73528568548769	-1.11915951557483	-1.0499383903675	-2.79852122904508	GBM	EA	ACH-000075
NA	-2.34121244035685	-2.40765375432367	-0.131647060359429	-1.92637194091067	-2.1921054957526	LIHC	NA	ACH-000089
NA	-2.7949846398801	-3.41267762417185	-1.23333998282963	-1.3851804809242	-1.84009864554664	PRAD	EA	ACH-000090
NA	-3.05938498386844	NA	-1.31422193127288	-1.85771733109195	-4.06876105820701	OV	EA	ACH-000091
NA	-1.71662732820836	-0.334578558707326	-0.805570144082696	-0.902062695002478	-1.8715079134844	BRCA	EA	ACH-000097
NA	NA	-2.81242185937102	-0.656220983860903	-2.01320957716861	-3.18242834398876	GBM	EA	ACH-000102
NA	NA	-2.48909572637981	-1.46061165150463	-2.26457480460409	-2.45539039507054	OV	EA	ACH-000103
-2.73846334209476	-2.85285374367692	-1.47402238250629	-0.949075217983893	-2.2365982752626	-3.98890899729258	LUAD	EA	ACH-000109
