Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
REACTOME_METABOLISM_OF_RNA	672	Metabolism of RNA	30	0.0446	1.3E-09	2.02E-06
REACTOME_METABOLISM_OF_LIPIDS	739	Metabolism of lipids	29	0.0392	4.13E-08	3.21E-05
REACTOME_DISEASE	1580	Disease	41	0.0259	4.78E-06	0.00248
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION	41	RNA Polymerase III Transcription	6	0.1463	9.57E-06	0.00372
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	1432	Post-translational protein modification	37	0.0258	1.54E-05	0.00386
REACTOME_CELL_CYCLE	693	Cell Cycle	23	0.0332	1.62E-05	0.00386
REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS	297	Signaling by Nuclear Receptors	14	0.0471	1.87E-05	0.00386
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER	28	RNA Polymerase III Transcription Initiation From Type 3 Promoter	5	0.1786	1.99E-05	0.00386
REACTOME_MOLYBDENUM_COFACTOR_BIOSYNTHESIS	6	Molybdenum cofactor biosynthesis	3	0.5	3.43E-05	0.00592
REACTOME_SNRNP_ASSEMBLY	54	snRNP Assembly	6	0.1111	4.81E-05	0.00747
