Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
REACTOME_DISEASE	1580	Disease	120	0.0759	5.99E-15	9.3E-12
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	1373	RNA Polymerase II Transcription	105	0.0765	2.13E-13	1.66E-10
REACTOME_METABOLISM_OF_LIPIDS	739	Metabolism of lipids	67	0.0907	3.98E-12	2.06E-09
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	1432	Post-translational protein modification	100	0.0698	1.44E-10	5.61E-08
REACTOME_SIGNALING_BY_RHO_GTPASES	454	Signaling by Rho GTPases	45	0.0991	8.52E-10	2.65E-07
REACTOME_DEVELOPMENTAL_BIOLOGY	1131	Developmental Biology	81	0.0716	2.75E-09	6.19E-07
REACTOME_INNATE_IMMUNE_SYSTEM	1114	Innate Immune System	80	0.0718	3.05E-09	6.19E-07
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	884	Cytokine Signaling in Immune system	68	0.0769	3.19E-09	6.19E-07
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	301	Extracellular matrix organization	34	0.113	3.69E-09	6.37E-07
REACTOME_DISEASES_OF_METABOLISM	246	Diseases of metabolism	29	0.1179	1.96E-08	3.05E-06
