gene,p_value,response_mean,non_response_mean,DE.r.nr.,FDR,response_variance,non_response_variance,Checkpoint,cancer
SH3RF2,0.14679237788341,2.42847278711716,3.33483217009814,-0.906359382980979,0.62600239820363,2.28459017434239,6.23965157332763,PD-1,Melanoma
UBR5,0.993099225492821,6.19939197574193,6.20082369548887,-0.00143171974694,0.998286815309303,0.32372811651615,0.357641549261406,PD-1,Melanoma
TMUB1,0.073341969277351,2.98526026274577,2.59701685434812,0.38824340839765,0.53259415897397,0.340807042178618,0.705514718136126,PD-1,Melanoma
C7,0.03378894079289,3.00640016241622,1.87209167674333,1.13430848567288,0.458309025115895,2.99700272013572,3.70087629033684,PD-1,Melanoma
UNK,0.95380452599309,3.72805631410524,3.74163601135481,-0.013579697249575,0.99047694284409,0.793543136213693,0.636483664217782,PD-1,Melanoma
ARFGEF2,0.085182107772949,6.28850249651091,5.97030849327253,0.318194003238379,0.550999390405274,0.408389581071944,0.424572225572862,PD-1,Melanoma
ANAPC1,0.893120244478554,5.59390567834263,5.57272871724561,0.021176961097019,0.978270093471885,0.196037349257862,0.378615410027611,PD-1,Melanoma
ABCF3,0.05183283235256,5.67089135771664,5.31963912041824,0.351252237298404,0.505042059536493,0.295581200274572,0.453325821058499,PD-1,Melanoma
RNF165,0.142681410372132,0.900713358413903,1.39438274290783,-0.493669384493922,0.628492221081251,1.29183791818662,1.46186947340237,PD-1,Melanoma
TOX,0.035961447635411,1.36402371591321,0.916066815233662,0.447956900679549,0.469174988429786,0.866518899168555,0.375316509361592,PD-1,Melanoma
MRPL32,0.746846471834934,3.48500147184349,3.39996071005163,0.085040761791856,0.932120100032331,0.206056671024332,1.24752305460908,PD-1,Melanoma
B3GNT4,0.425629580936065,2.26893045987081,2.50224479824959,-0.233314338378782,0.811463454923928,1.35696988588167,0.917072411814058,PD-1,Melanoma
PRKCB,0.048141677646496,3.26404530468791,2.55615483337024,0.707890471317667,0.511131811977801,1.28167344066363,1.71327853953489,PD-1,Melanoma
CACNA1A,0.231071628149147,0.689554491534406,0.989959633597902,-0.300405142063496,0.68279226782267,0.678614727366637,0.840573705595901,PD-1,Melanoma
KEAP1,0.053804621181455,3.95070993781479,3.5071600212445,0.443549916570291,0.50353929671033,0.582520208925498,0.677881457383663,PD-1,Melanoma
HMGA2,0.122643412939063,2.54111368631642,3.56116921003704,-1.02005552372062,0.605158763524639,3.64428196287938,6.35109753467546,PD-1,Melanoma
RNF2,0.453932967231953,5.00278806884742,4.79977394988978,0.203014118957642,0.826528448318855,0.442310629878267,1.18948043828716,PD-1,Melanoma
RNF111,0.041178948077631,5.53144037903571,5.86922524732056,-0.337784868284848,0.4820911830077,0.327932447571669,0.333629894149278,PD-1,Melanoma
TRAF7,0.866083892092883,6.38955233269176,6.35962970262535,0.029922630066407,0.969699019546904,0.296084111688515,0.453159903316408,PD-1,Melanoma
AHRR,0.652262473933351,1.88141143813594,1.74362840291139,0.137783035224546,0.90464691767603,1.61525738394107,0.931209541518457,PD-1,Melanoma
ZNF823,0.854329371097177,3.6756434791783,3.72107166597066,-0.045428186792356,0.967088284414783,0.6200280934614,0.856371795553238,PD-1,Melanoma
STT3B,0.228327588617078,6.7865992445477,6.51773162899894,0.268867615548753,0.683872223105041,0.553375011425301,0.656286894987287,PD-1,Melanoma
