sigs	drug	P	OR	X2.5..	X97.5..	r2	FDR	DRUG_NAME	PUTATIVE_TARGET	PATHWAY_NAME
EPP1	1	0.689300101534877	1.24622917495275	0.373183530891265	4.16172480279131	-0.27208499792192	0.967077552578959	Erlotinib	EGFR	EGFR signaling
Tobacco	1	0.918187652433176	1.01678120747013	0.736680536778989	1.40338175402968	0.171381208605054	0.973046877085668	Erlotinib	EGFR	EGFR signaling
APOBEC	1	0.208531074745552	1.26515672771977	0.873664389510985	1.83207827274556	0.236166209677173	0.892949074100238	Erlotinib	EGFR	EGFR signaling
NpCpG	1	0.831411717580141	0.933414631018958	0.490517635373112	1.77621110959147	0.240694814783117	0.936801935301568	Erlotinib	EGFR	EGFR signaling
MMR	1	0.493611132360907	1.12042341738272	0.805621760159586	1.55823575814401	0.256647780318838	0.58938642669959	Erlotinib	EGFR	EGFR signaling
EPP2	1	0.434256253205151	1.18697442654101	0.768223124571636	1.83398318040474	0.215885462202692	0.97011631765142	Erlotinib	EGFR	EGFR signaling
EPP1	3	0.923093979512014	0.881086784355638	0.0356979352330838	21.7467457570681	-0.35331172735102	0.984523882549489	Rapamycin	MTORC1	PI3K/MTOR signaling
Tobacco	3	0.891342262435332	1.03413160662648	0.633044647043497	1.68934084636592	-0.00756371633795028	0.973046877085668	Rapamycin	MTORC1	PI3K/MTOR signaling
APOBEC	3	0.739279046292736	0.890536922654669	0.443434405016485	1.78844041337245	-0.0713478751117631	0.994324736052558	Rapamycin	MTORC1	PI3K/MTOR signaling
NpCpG	3	0.640193328814134	0.837457292634877	0.393098101153252	1.7841213552795	-0.0390754988849285	0.819447460882092	Rapamycin	MTORC1	PI3K/MTOR signaling
MMR	3	0.440541777531694	0.83560552296549	0.525487745494152	1.32874000582798	-0.00615542962505855	0.540127849847288	Rapamycin	MTORC1	PI3K/MTOR signaling
EPP2	3	0.813254933056713	0.922734067592433	0.467413011390918	1.82159704318454	-0.0849055143247581	0.97011631765142	Rapamycin	MTORC1	PI3K/MTOR signaling
EPP1	5	0.175766293864725	3.99682470642483	0.46507440409345	34.3484990644165	0.307853312966211	0.830407215421263	Sunitinib	PDGFR, KIT, VEGFR, FLT3, RET, CSF1R	RTK signaling
Tobacco	5	0.362607527297019	0.851543632699367	0.600150188073438	1.2082418247982	0.00562364156537631	0.722929167945602	Sunitinib	PDGFR, KIT, VEGFR, FLT3, RET, CSF1R	RTK signaling
