mutational_propensity	cancer_type	gene	variant	Immune_cell_type	Beta_value	Weak	WeakFDR	P	FDR
MP3	UCEC	A2M	Somatic_Nsy_mutations	Macrophages_M1	89.2928992869716	0.004490062746113	0.018913219084677	0.00981010238601	0.055928603926765
MP3	UCEC	A2M	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	41.334200034737	0.004755524680716	0.014871822637876	0.005410867119309	0.019968380299915
MP4	UCEC	A2M	Somatic_Nsy_mutations	T_Cells_CD8	16.5132355044104	0.002700481247052	0.026160912080813	0.008680520322693	0.091372264521974
MP3	UCEC	AADACL2	SCNAs	T_Cells_CD8	20.3081780620543	0.035350340752344	0.060808844181488	0.058502429114608	0.093264742066767
MP3	UCEC	AADACL2	Somatic_Nsy_mutations	T_Cells_CD8	14.2490487001052	2.00044485329169E-05	0.001720382573831	0.002012695007133	0.077450111011413
MP2	pan-cancer	AARS2	TSS_methylation	Neutrophils	-70.680378856473	2.50112690449655E-05	0.000244212712267	0.008912602263909	0.071072100586721
MP1	UCEC	ABCA1	SCNAs	B_Cells_Memory	-47.8221738523742	0.004448296404269	0.020689933698743	0.007621715741187	0.063026565845177
MP1	UCEC	ABCA1	SCNAs	T_Cells_CD8	21.5006570390562	0.000319740120994	0.00359008764105	0.000881462481492	0.015741149446521
MP1	UCEC	ABCA1	SCNAs	T_Cells_Follicular_Helper	30.5804593783155	0.000670927664508	0.006760886465426	0.002259573873663	0.026909470677258
MP1	UCEC	ABCA1	SCNAs	Mast_Cells_Resting	-37.3683020186031	0.001061904012978	0.007413091265676	0.003323025569548	0.036276362467568
MP2	pan-cancer	ABCA2	TSS_methylation	Neutrophils	-104.772382065718	0.007419869127893	0.008907609384502	0.040862415625169	0.073423334706228
MP5	UCEC	ABCA9	Somatic_Nsy_mutations	Macrophages_M1	132.741727640201	0.004502636268539	0.0209311740051	0.006831189448606	0.036924906983397
MP5	UCEC	ABCA9	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	42.7194268369583	6.46473393087942E-06	0.000232902585845	0.000134600911469	0.003858559462118
MP5	UCEC	ABCA9	Somatic_Nsy_mutations	T_Cells_CD8	45.5809085918569	0.003412898610402	0.029040061793013	0.008182959805241	0.095675467365293
MP5	pan-cancer	ABCD4	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	44.4410550170433	0.017879296972568	0.03406730909638	0.042573471300014	0.075985562700024
MP1	UCEC	ABCF3	SCNAs	T_Cells_CD8	23.1324546755982	0.001495454003883	0.00669428184542	0.002776533676391	0.01627093620696
MP1	UCEC	ABCF3	SCNAs	T_Cells_Follicular_Helper	25.8094672834784	0.000114075660965	0.004981303862131	0.000942494145406	0.026909470677258
MP2	pan-cancer	ABCG8	TSS_methylation	Neutrophils	-61.8563944745571	0.000398541469558	0.000716768498483	0.043637730069241	0.075056895719095
MP2	pan-cancer	ABHD1	TSS_methylation	Neutrophils	-55.7080480602936	3.69984713633481E-05	0.000244212712267	0.029167651089443	0.071072100586721
MP2	pan-cancer	ABI3	TSS_methylation	Neutrophils	-66.3979587578904	0.000561556868216	0.00094190212293	0.039346292524335	0.073423334706228
MP5	UCEC	ABL2	Somatic_Nsy_mutations	Macrophages_M1	124.594901628731	0.003573018293908	0.018075269016239	0.005992162955941	0.034355067614064
MP5	UCEC	ABL2	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	84.5945812539197	0.037102252725045	0.071813665104562	0.037507567470808	0.07589766594093
MP5	UCEC	ACACA	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	84.5007260746843	0.040141280826892	0.075725598063031	0.040446407668569	0.079054342261293
MP5	UCEC	ACACA	Somatic_Nsy_mutations	Macrophages_M1	183.396751847085	0.055162463894824	0.090865281842374	0.056484788199306	0.098781412000995
MP1	LUAD	ACACA	TSS_methylation	Mast_Cells_Resting	24.7001668878008	0.000791394364828	0.000791394364828	0.017847654775879	0.017847654775879
MP1	LUAD	ACACA	TSS_methylation	Mast_Cells	29.0759333360119	0.001918693516906	0.001918693516906	0.021599845257626	0.021599845257626
MP1	LUAD	ACACA	TSS_methylation	T_Cells_Follicular_Helper	-44.4756603554409	0.053709418184786	0.053709418184786	0.089884716592884	0.089884716592884
MP1	LUAD	ACACA	TSS_methylation	T_Cells_CD8	-18.9840479935022	0.001505776397139	0.001505776397139	0.023308560148349	0.023308560148349
MP3	UCEC	ACADL	SCNAs	T_Cells_CD8	19.3288588903251	0.036586234078464	0.06097705679744	0.065569104304218	0.097467587479243
MP3	UCEC	ACADL	Somatic_Nsy_mutations	T_Cells_Follicular_Helper	36.6726014179261	0.028066380709627	0.050285598771415	0.032799590396375	0.059384521559752
MP3	UCEC	ACADL	Somatic_Nsy_mutations	Macrophages_M1	52.6300658769288	0.000772126381514	0.007378096534471	0.010828281162091	0.055928603926765
MP4	pan-cancer	ACOT1	Germline_structural_varinat	Macrophages_M1	-17.4042490510644	0.00027112473676	0.00027112473676	0.071789954481594	0.071789954481594
MP4	pan-cancer	ACOT2	Germline_structural_varinat	Macrophages_M1	-17.4042490510644	0.00027112473676	0.00027112473676	0.071789954481594	0.071789954481594
