gene	E_mutational_propensity	E_cancer_types	E_variant	I_mutational_propensity	I_cancer_type	I_variant
ABCA2	MP1	UCEC	SCNAs	MP2	pan-cancer	TSS_methylation
ABCF3	MP1	UCEC	SCNAs	MP1	UCEC	SCNAs
ABL2	MP5	UCEC	SCNAs	MP5	UCEC	Somatic_Nsy_mutations
ACACA	MP1	LUAD	TSS_methylation	MP1	LUAD	TSS_methylation
ACACA	MP1	LUAD	TSS_methylation	MP5	UCEC	Somatic_Nsy_mutations
ACTR1B	MP5	UCEC	SCNAs	MP5	UCEC	Somatic_Nsy_mutations
ACTR2	MP1	pan-cancer	SCNAs	MP1	pan-cancer	SCNAs
ACVR1	MP3	UCEC	SCNAs	MP3	UCEC	Somatic_Nsy_mutations
ACVR1	MP3	UCEC	SCNAs	MP3	UCEC	SCNAs
ADAMTS6	MP3	UCEC	SCNAs	MP3	UCEC	SCNAs
ADCY10	MP6	UCEC	SCNAs	MP6	UCEC	Somatic_Nsy_mutations
ADCY10	MP6	UCEC	SCNAs	MP6	UCEC	SCNAs
ADCY10	MP6	UCEC	SCNAs	MP3	UCEC	Somatic_Nsy_mutations
ADCY10	MP6	UCEC	SCNAs	MP2	pan-cancer	TSS_methylation
ADCY10	MP6	UCEC	SCNAs	MP4	UCEC	Somatic_Nsy_mutations
ADNP2	MP1	STAD	SCNAs	MP1	STAD	SCNAs
ADNP2	MP3	STAD	SCNAs	MP1	STAD	SCNAs
ADRM1	MP3	UCEC	SCNAs	MP3	UCEC	SCNAs
AKNA	MP1	UCEC	SCNAs	MP1	UCEC	SCNAs
ALK	MP5	UCEC	SCNAs	MP5	UCEC	Somatic_Nsy_mutations
ALPK3	MP1	UCEC	SCNAs	MP1	UCEC	Somatic_Nsy_mutations
ALPK3	MP1	UCEC	SCNAs	MP2	pan-cancer	TSS_methylation
ALPK3	MP1	UCEC	SCNAs	MP1	UCEC	SCNAs
AMDHD2	MP1	pan-cancer	SCNAs	MP1	pan-cancer	SCNAs
ANAPC1	MP1	pan-cancer	SCNAs	MP1	pan-cancer	SCNAs
ANKS6	MP1	UCEC	SCNAs	MP1	UCEC	SCNAs
AP1B1	MP6	UCEC	SCNAs	MP6	UCEC	Somatic_Nsy_mutations
APBA3	MP6	UCEC	SCNAs	MP6	UCEC	SCNAs
APBA3	MP5	UCEC	SCNAs	MP6	UCEC	SCNAs
APOL1	MP1	UCEC	SCNAs	MP1	UCEC	SCNAs
APOL6	MP1	UCEC	SCNAs	MP1	UCEC	SCNAs
ARC	MP3	UCEC	SCNAs	MP3	UCEC	SCNAs
ARID4B	MP5	UCEC	SCNAs	MP5	UCEC	Somatic_Nsy_mutations
