Gene  Symbol	Gene Name	Gene Alias(es)	Chromosome location	Cancer syndrome(s)	Major associated tumor types	Mode of inheritance	Gene Start (bp)	Gene End (bp)	Reference (PubMed ID)	OMIM ID	Source	Gene_Classification	# of Likely Pathogenic Variant	# of Pathogenic Variant
ATR	ATR serine/threonine kinase	"ATR,Q13535,FRP1,SCKL1,SCKL,MEC1,ENSG00000175054,545"	3q23	"familial cutaneous telangiectasia and cancer sydrome, Seckel syndrome"	"endometrial, gastric"	autosomal dominant	142449429	142578704	29025585	601215	Cancer Gene Census Germline download 1/5/2016 (http://cancer.sanger.ac.uk/census/ )	Tumor Suppressor Gene	14	0
FANCD2	"Fanconi anemia, complementation group D2"	"2177,FANCD,DKFZp762A223,FAD2,FA-D2,FA4,FACD,FAD,FLJ23826,ENSG00000144554,FANCD2"	3p26	Fanconi anaemia D2	"AML, leukaemia"	autosomal recessive	10028658	10098950	28678401	613984	Cancer Gene Census Germline download 1/5/2016 (http://cancer.sanger.ac.uk/census/ )	Tumor Suppressor Gene	0	0
FANCE	"Fanconi anemia, complementation group E"	"FANCE,FACE,FAE,ENSG00000112039,2178"	6p21-p22	Fanconi anaemia E	"AML, leukaemia"	autosomal recessive	35452546	35466345	28678401	613976	Cancer Gene Census Germline download 1/5/2016 (http://cancer.sanger.ac.uk/census/ )	Tumor Suppressor Gene	0	2
FANCF	"Fanconi anemia, complementation group F"	"FANCF,FAF,MGC126856,Q9NPI8,ENSG00000183161,2188"	11p15	Fanconi anaemia F	"AML, leukaemia"	autosomal recessive	22624686	22625810	28440438; 28687356	613897	Cancer Gene Census Germline download 1/5/2016 (http://cancer.sanger.ac.uk/census/ )	Tumor Suppressor Gene	0	0
HNF1A	HNF1 homeobox A	"6927,HNF1,LFB1,P20823,HNF1A,MODY3,TCF1,ENSG00000135100,TCF1"	12q24.2	familial hepatic adenoma	"hepatic adenoma, hepatocellular carcinoma"	autosomal recessive	120978769	121001192	23707370	142410	Cancer Gene Census Germline download 1/5/2016 (http://cancer.sanger.ac.uk/census/ )	Tumor Suppressor Gene	0	1
LMO1	LIM domain only 1 (rhombotin 1) (RBTN1)	"LMO1,RBTN1,TTG1,RHOM1,P25800,ENSG00000166407,4004"	11p15		neuroblastoma	autosomal dominant	8224616	8268634	21124317	186921	Cancer Gene Census Germline download 1/5/2016 (http://cancer.sanger.ac.uk/census/ )	Oncogene	0	0
MPL	"myeloproliferative leukaemia virus oncogene, thrombopoietin receptor"	"P40238,TPOR,RP1-92O14_1,C-MPL,MPLV,CD110,ENSG00000117400,4352,MPL"	1p34	familial essential thrombocythemia	MPN	autosomal dominant	43337849	43352772	28979237	159530	Cancer Gene Census Germline download 1/5/2016 (http://cancer.sanger.ac.uk/census/ )	Oncogene	0	1
PMS1	PMS1 postmeiotic segregation increased 1 (S. cerevisiae)	"5378,hPMS1,DKFZp781M0253,HNPCC3,PMSL1,ENSG00000064933,PMS1"	2q31-q33		hereditary non-polyposis colorectal cancer	autosomal recessive	189791810	189877436	28687356	600258	Cancer Gene Census Germline download 1/5/2016 (http://cancer.sanger.ac.uk/census/ )	Tumor Suppressor Gene	0	0
PRF1	perforin 1 (pore forming protein)	"P14222,PRF1,5551,ENSG00000180644,FLH2,HPLH2,MGC65093,P1,PFP"	10q22		"various leukaemia, lymphoma"	autosomal recessive	70598053	70600902	29113160	170280	Cancer Gene Census Germline download 1/5/2016 (http://cancer.sanger.ac.uk/census/ )	Tumor Suppressor Gene	0	0
SETBP1	SET binding protein 1	"Q9UEF3,SETBP1_ENST00000282030,ENSG00000152217,KIAA0437,SEB,26040,Q9Y6X0,A6H8W5,Q6P6C3"	18q21.1	Schinzel-Giedion syndrome	neuroepithelial tumours	autosomal dominant	44701347	45063698	28383694	611060	Cancer Gene Census Germline download 1/5/2016 (http://cancer.sanger.ac.uk/census/ )	Oncogene	2	0
