mutational_propensity	cancer_type	gene	variant	Beta_value	P	FDR
MP5	pan-cancer	PRDM16	germline missense	0.000965997381335	0.002875618956979	0.035896259730277
MP5	pan-cancer	PRDM16	Somatic_Nsy_mutations	2.5733650071818	2.34959155727197E-10	6.07921012893602E-08
MP5	pan-cancer	AKR7A3	Germline_truncation	-0.001161277845686	0.012920302989079	0.097941418826005
MP5	pan-cancer	AKR7A3	Somatic_Nsy_mutations	2.55943085464097	0.000108567674664	0.003362260383884
MP5	pan-cancer	C1QA	germline missense	0.001648552426824	0.001441541514715	0.022004841273251
MP5	pan-cancer	C1QA	Somatic_Nsy_mutations	3.87500861283633	3.72909224818536E-09	6.4634051657854E-07
MP5	pan-cancer	GALE	germline missense	0.001226277032432	0.004199471073239	0.046388844162209
MP5	pan-cancer	GALE	Somatic_Nsy_mutations	2.69192815575166	3.70927670127374E-05	0.001462997964276
MP5	pan-cancer	STMN1	germline missense	0.002152917906868	0.003018406365947	0.037123765076034
MP5	pan-cancer	STMN1	Somatic_Nsy_mutations	2.72301848727184	3.24004216036217E-07	2.85818480513465E-05
MP5	pan-cancer	RPS6KA1	Germline_truncation	-0.002057217678497	0.004915714745754	0.051449451740875
MP5	pan-cancer	RPS6KA1	Somatic_Nsy_mutations	3.49373118896179	3.04997265380062E-09	5.44444078747364E-07
MP5	pan-cancer	YARS	germline missense	-0.001160409121831	0.005715407805905	0.056905268229055
MP5	pan-cancer	YARS	Somatic_Nsy_mutations	3.06197325852597	3.51057334357622E-14	2.84298299258575E-11
MP5	pan-cancer	ZMYM1	Germline_truncation	0.001780008702939	0.000579060309067	0.011260863161991
MP5	pan-cancer	ZMYM1	Somatic_Nsy_mutations	2.6265096177234	5.96694410796149E-13	3.45067772677212E-10
MP5	pan-cancer	THRAP3	germline missense	0.001332768443212	0.001961944733106	0.027515306160914
MP5	pan-cancer	THRAP3	SCNAs	-0.388704103181666	0.00329958063116	0.039433168381382
MP5	pan-cancer	GNL2	germline missense	0.000778830731269	0.008747258230839	0.075633161635981
MP5	pan-cancer	GNL2	SCNAs	-0.328315891717669	0.010720347394397	0.086526822301063
MP5	pan-cancer	SLFNL1	germline missense	0.000513770701741	0.010128002384697	0.08332553016236
MP5	pan-cancer	SLFNL1	Somatic_Nsy_mutations	2.36818390762613	0.010254821537937	0.084030693651399
MP5	pan-cancer	SLFNL1	SCNAs	-0.440587467263095	0.000566405084402	0.011080021596136
MP5	pan-cancer	PPIH	germline missense	0.002194314802313	0.002362406507762	0.031377264897877
