
Overlap Results

Collection(s):	H
# overlaps shown:	10
# genesets in collections:	50
# genes in comparison (n):	79
# genes in universe (N):	40071

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
HALLMARK_FATTY_ACID_METABOLISM	158	Genes encoding proteins involved in metabolism of fatty acids.	4	0.0253	2.78E-4	1.13E-2
HALLMARK_ADIPOGENESIS	200	Genes up-regulated during adipocyte differentiation (adipogenesis).	4	0.0200	6.75E-4	1.13E-2
HALLMARK_ESTROGEN_RESPONSE_EARLY	200	Genes defining early response to estrogen.	4	0.0200	6.75E-4	1.13E-2
HALLMARK_COMPLEMENT	200	Genes encoding components of the complement system, which is part of the innate immune system.	3	0.0150	7.33E-3	6.11E-2
HALLMARK_ESTROGEN_RESPONSE_LATE	200	Genes defining late response to estrogen.	3	0.0150	7.33E-3	6.11E-2
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	Genes up-regulated in response to IFNG [GeneID=3458].	3	0.0150	7.33E-3	6.11E-2
HALLMARK_INTERFERON_ALPHA_RESPONSE	97	Genes up-regulated in response to alpha interferon proteins.	2	0.0206	1.58E-2	1.13E-1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	113	Genes up-regulated during unfolded protein response, a cellular stress response related to the endoplasmic reticulum.	2	0.0177	2.11E-2	1.32E-1
HALLMARK_COAGULATION	138	Genes encoding components of blood coagulation system; also up-regulated in platelets.	2	0.0145	3.05E-2	1.7E-1
HALLMARK_UV_RESPONSE_UP	158	Genes up-regulated in response to ultraviolet (UV) radiation.	2	0.0127	3.91E-2	1.95E-1


Gene/Gene Set Overlap Matrix

Entrez Gene Id	Gene Symbol	Gene Description	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_COMPLEMENT	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_COAGULATION	HALLMARK_UV_RESPONSE_UP
1892	ECHS1	enoyl-CoA hydratase, short chain 1 [Source:HGNC Symbol;Acc:HGNC:3151]	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_ADIPOGENESIS								
2052	EPHX1	epoxide hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3401]	HALLMARK_FATTY_ACID_METABOLISM									HALLMARK_UV_RESPONSE_UP
10965	ACOT2	acyl-CoA thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:18431]	HALLMARK_FATTY_ACID_METABOLISM									
8801	SUCLG2	succinate-CoA ligase GDP-forming subunit beta [Source:HGNC Symbol;Acc:HGNC:11450]	HALLMARK_FATTY_ACID_METABOLISM									
949	SCARB1	scavenger receptor class B member 1 [Source:HGNC Symbol;Acc:HGNC:1664]		HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY		HALLMARK_ESTROGEN_RESPONSE_LATE					
8082	SSPN	sarcospan [Source:HGNC Symbol;Acc:HGNC:11322]		HALLMARK_ADIPOGENESIS				HALLMARK_INTERFERON_GAMMA_RESPONSE				
1147	CHUK	component of inhibitor of nuclear factor kappa B kinase complex [Source:HGNC Symbol;Acc:HGNC:1974]		HALLMARK_ADIPOGENESIS								
5655	KLK10	kallikrein related peptidase 10 [Source:HGNC Symbol;Acc:HGNC:6358]			HALLMARK_ESTROGEN_RESPONSE_EARLY		HALLMARK_ESTROGEN_RESPONSE_LATE					
375449	MAST4	microtubule associated serine/threonine kinase family member 4 [Source:HGNC Symbol;Acc:HGNC:19037]			HALLMARK_ESTROGEN_RESPONSE_EARLY							
